"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","CHE.PPPGDP.A","OBS_VALUE","Switzerland","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","586.055","614.855","645.801","642.195","733.613","814.034","851.542","884.806","921.478","960.599"
"IMF.RES:WEO(9.0.0)","CAN.PPPGDP.A","OBS_VALUE","Canada","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1765.763","1852.988","1899.695","1847.839","2148.927","2409.845","2547.818","2664.499","2787.835","2910.718"
"IMF.RES:WEO(9.0.0)","NOR.NGDP_RPCH.A","OBS_VALUE","Norway","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.670","1.110","1.470","-1.361","4.143","4.080","0.353","1.424","1.085","1.475"
"IMF.RES:WEO(9.0.0)","NLD.NID_NGDP.A","OBS_VALUE","Netherlands, The","Gross capital formation, Percent of GDP","Annual","Units","20.215","20.480","21.758","21.352","22.194","22.863","20.081","19.665","19.685","19.638"
"IMF.RES:WEO(9.0.0)","NOR.NGDPD.A","OBS_VALUE","Norway","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","415.673","454.589","424.245","382.253","521.592","617.322","502.198","500.886","530.756","599.406"
"IMF.RES:WEO(9.0.0)","SWE.PPPGDP.A","OBS_VALUE","Sweden","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","516.831","538.902","584.969","594.249","651.825","706.951","731.612","757.406","790.912","829.539"
"IMF.RES:WEO(9.0.0)","SWE.NGDP_RPCH.A","OBS_VALUE","Sweden","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.883","1.770","2.608","-1.934","5.226","1.255","-0.204","1.018","1.543","1.963"
"IMF.RES:WEO(9.0.0)","NLD.PPPGDP.A","OBS_VALUE","Netherlands, The","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","959.996","1013.552","1081.371","1091.779","1215.449","1367.086","1409.153","1459.737","1529.014","1592.206"
"IMF.RES:WEO(9.0.0)","NLD.NGDP_RPCH.A","OBS_VALUE","Netherlands, The","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.783","2.260","2.300","-3.877","6.278","5.007","-0.601","1.080","1.856","1.233"
"IMF.RES:WEO(9.0.0)","SWE.NID_NGDP.A","OBS_VALUE","Sweden","Gross capital formation, Percent of GDP","Annual","Units","25.092","25.336","24.477","24.421","25.272","26.922","25.263","25.119","25.467","25.251"
"IMF.RES:WEO(9.0.0)","SWE.NGSD_NGDP.A","OBS_VALUE","Sweden","Gross national savings, Percent of GDP","Annual","Units","27.265","27.448","29.693","30.082","31.492","30.907","31.484","31.985","31.561","30.505"
"IMF.RES:WEO(9.0.0)","FIN.NID_NGDP.A","OBS_VALUE","Finland","Gross capital formation, Percent of GDP","Annual","Units","24.280","25.692","24.540","24.953","24.764","27.262","22.997","22.314","21.879","23.057"
"IMF.RES:WEO(9.0.0)","FIN.NGDPD.A","OBS_VALUE","Finland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","253.757","273.993","267.044","269.784","294.419","280.474","295.277","298.639","316.860","337.669"
"IMF.RES:WEO(9.0.0)","JPN.NID_NGDP.A","OBS_VALUE","Japan","Gross capital formation, Percent of GDP","Annual","Units","26.635","27.136","27.324","26.886","27.325","28.311","27.784","27.679","27.728","28.240"
"IMF.RES:WEO(9.0.0)","G163.NID_NGDP.A","OBS_VALUE","Euro Area (EA)","Gross capital formation, Percent of GDP","Annual","Units","20.987","21.607","22.375","22.004","22.767","23.882","22.419","21.447","21.928","21.878"
"IMF.RES:WEO(9.0.0)","CAN.NGSD_NGDP.A","OBS_VALUE","Canada","Gross national savings, Percent of GDP","Annual","Units","20.748","21.000","21.089","20.658","24.286","24.569","22.949","22.687","22.217","22.844"
"IMF.RES:WEO(9.0.0)","CAN.NGDP_RPCH.A","OBS_VALUE","Canada","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.034","2.743","1.908","-5.038","5.951","4.695","1.953","2.046","1.743","1.500"
"IMF.RES:WEO(9.0.0)","CAN.NID_NGDP.A","OBS_VALUE","Canada","Gross capital formation, Percent of GDP","Annual","Units","23.550","23.377","23.042","22.675","24.305","25.027","23.638","23.168","23.154","23.060"
"IMF.RES:WEO(9.0.0)","LIE.PPPGDP.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","5.285","5.552","5.642","5.444","6.910","7.044","7.555","7.720","7.939","8.133"
"IMF.RES:WEO(9.0.0)","CHE.NGSD_NGDP.A","OBS_VALUE","Switzerland","Gross national savings, Percent of GDP","Annual","Units","32.490","33.353","31.996","31.725","35.504","35.526","34.408","35.712","36.633","36.320"
"IMF.RES:WEO(9.0.0)","LIE.NGDPD.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","6.375","6.693","6.437","6.405","7.913","7.427","8.239","8.465","8.991","9.442"
"IMF.RES:WEO(9.0.0)","CAN.NGDPD.A","OBS_VALUE","Canada","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1649.266","1725.300","1743.725","1655.685","2022.382","2200.567","2196.594","2270.076","2319.900","2507.340"
"IMF.RES:WEO(9.0.0)","CHE.NGDP_RPCH.A","OBS_VALUE","Switzerland","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.461","3.356","1.110","-2.365","6.167","3.594","0.875","1.389","1.272","1.342"
"IMF.RES:WEO(9.0.0)","CHE.NID_NGDP.A","OBS_VALUE","Switzerland","Gross capital formation, Percent of GDP","Annual","Units","27.257","27.352","27.976","31.172","28.068","26.573","28.576","26.788","29.524","29.478"
"IMF.RES:WEO(9.0.0)","ISL.PPPGDP.A","OBS_VALUE","Iceland","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","19.363","20.495","22.092","20.830","23.475","27.371","29.813","30.161","31.413","32.928"
"IMF.RES:WEO(9.0.0)","FIN.PPPGDP.A","OBS_VALUE","Finland","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","260.180","271.632","288.648","294.706","317.782","342.981","351.086","361.150","372.039","386.703"
"IMF.RES:WEO(9.0.0)","GRC.NGDPD.A","OBS_VALUE","Greece","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","200.310","213.396","207.329","191.210","218.449","218.162","243.016","256.161","280.476","307.554"
"IMF.RES:WEO(9.0.0)","AND.PPPGDP.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","3.916","4.152","4.395","4.031","4.650","5.457","5.805","6.178","6.601","6.932"
"IMF.RES:WEO(9.0.0)","JPN.NGDPD.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5038.232","5154.293","5245.755","5189.197","5225.934","4447.976","4384.854","4190.008","4435.163","4379.253"
"IMF.RES:WEO(9.0.0)","JPN.PPPGDP.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","5376.868","5464.294","5539.374","5499.930","5811.791","6308.048","6588.598","6735.801","7009.525","7262.163"
"IMF.RES:WEO(9.0.0)","AND.NGDP_RPCH.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.346","1.589","2.016","-11.184","8.287","9.565","2.584","3.849","3.900","2.100"
"IMF.RES:WEO(9.0.0)","JPN.NGDP_RPCH.A","OBS_VALUE","Japan","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.623","0.834","-0.308","-4.283","3.564","1.332","0.721","-0.242","1.193","0.719"
