"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","SLB.NGSD_NGDP.A","OBS_VALUE","Solomon Islands","Gross national savings, Percent of GDP","Annual","Units","15.277","16.175","13.186","15.076","17.516","6.253","9.795","15.300","28.435","24.820"
"IMF.RES:WEO(9.0.0)","KIR.PPPGDP.A","OBS_VALUE","Kiribati","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","0.278","0.294","0.309","0.309","0.350","0.394","0.422","0.453","0.486","0.515"
"IMF.RES:WEO(9.0.0)","SLB.NGDPD.A","OBS_VALUE","Solomon Islands","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.470","1.615","1.619","1.536","1.558","1.467","1.506","1.584","1.704","1.836"
"IMF.RES:WEO(9.0.0)","KIR.NGDPD.A","OBS_VALUE","Kiribati","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.223","0.234","0.234","0.222","0.286","0.272","0.292","0.343","0.349","0.401"
"IMF.RES:WEO(9.0.0)","SLB.NID_NGDP.A","OBS_VALUE","Solomon Islands","Gross capital formation, Percent of GDP","Annual","Units","19.561","19.139","22.696","16.724","22.486","20.879","21.224","19.459","29.403","29.403"
"IMF.RES:WEO(9.0.0)","FJI.PPPGDP.A","OBS_VALUE","Fiji, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","11.778","12.131","11.874","9.805","9.463","11.934","13.545","14.373","15.252","16.070"
"IMF.RES:WEO(9.0.0)","SLB.NGDP_RPCH.A","OBS_VALUE","Solomon Islands","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.075","2.746","1.749","-3.381","-0.228","-2.584","2.841","2.998","2.679","2.785"
"IMF.RES:WEO(9.0.0)","TUN.PPPGDP.A","OBS_VALUE","Tunisia","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","131.520","139.320","148.377","142.710","149.106","163.982","170.457","177.546","187.135","196.564"
"IMF.RES:WEO(9.0.0)","UGA.NID_NGDP.A","OBS_VALUE","Uganda","Gross capital formation, Percent of GDP","Annual","Units","24.456","24.964","24.825","24.211","24.093","24.237","22.596","22.621","23.219","23.597"
"IMF.RES:WEO(9.0.0)","ZMB.NGSD_NGDP.A","OBS_VALUE","Zambia","Gross national savings, Percent of GDP","Annual","Units","39.321","37.288","39.739","44.036","43.267","30.728","28.408","26.742","29.552","34.819"
"IMF.RES:WEO(9.0.0)","TUN.NID_NGDP.A","OBS_VALUE","Tunisia","Gross capital formation, Percent of GDP","Annual","Units","21.295","22.964","19.803","12.688","15.934","16.798","8.151","7.858","10.698","10.354"
"IMF.RES:WEO(9.0.0)","BFA.NGDPD.A","OBS_VALUE","Burkina Faso","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","14.094","15.916","16.092","17.837","19.708","18.662","20.116","23.130","27.140","32.513"
"IMF.RES:WEO(9.0.0)","UGA.NGDPD.A","OBS_VALUE","Uganda","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","31.589","34.127","37.895","37.889","42.805","47.272","52.038","57.061","66.014","73.370"
"IMF.RES:WEO(9.0.0)","ZMB.NGDPD.A","OBS_VALUE","Zambia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","25.874","26.311","23.309","18.138","22.096","29.164","27.578","25.303","28.880","41.243"
"IMF.RES:WEO(9.0.0)","ZMB.NGDP_RPCH.A","OBS_VALUE","Zambia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.526","4.035","1.441","-2.785","6.235","5.211","5.368","3.820","3.758","4.287"
"IMF.RES:WEO(9.0.0)","BFA.NGSD_NGDP.A","OBS_VALUE","Burkina Faso","Gross national savings, Percent of GDP","Annual","Units","17.040","17.535","16.431","21.251","15.900","10.519","15.344","18.450","28.064","28.024"
"IMF.RES:WEO(9.0.0)","BFA.NID_NGDP.A","OBS_VALUE","Burkina Faso","Gross capital formation, Percent of GDP","Annual","Units","22.074","21.713","19.686","17.078","15.508","18.059","20.402","21.934","21.354","19.430"
"IMF.RES:WEO(9.0.0)","UGA.PPPGDP.A","OBS_VALUE","Uganda","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","91.142","101.251","111.336","113.757","127.618","145.139","158.047","171.686","188.429","208.381"
"IMF.RES:WEO(9.0.0)","TON.NGDPD.A","OBS_VALUE","Tonga","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.460","0.485","0.505","0.512","0.521","0.553","0.596","0.646","0.680","0.716"
"IMF.RES:WEO(9.0.0)","VUT.NGDPD.A","OBS_VALUE","Vanuatu","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.999","1.000","1.054","1.128","1.060","1.130","1.198","1.265","1.316","1.396"
"IMF.RES:WEO(9.0.0)","WSM.NGDPD.A","OBS_VALUE","Samoa","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.885","0.878","0.913","0.869","0.860","0.890","1.045","1.176","1.288","1.376"
"IMF.RES:WEO(9.0.0)","NRU.NGDPD.A","OBS_VALUE","Naoero, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.109","0.131","0.125","0.125","0.149","0.181","0.161","0.168","0.176","0.196"
"IMF.RES:WEO(9.0.0)","SLB.PPPGDP.A","OBS_VALUE","Solomon Islands","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1.504","1.581","1.635","1.601","1.670","1.743","1.859","1.962","2.072","2.190"
"IMF.RES:WEO(9.0.0)","KIR.NGDP_RPCH.A","OBS_VALUE","Kiribati","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.749","3.479","3.264","-1.468","8.616","5.038","3.299","4.629","4.288","3.102"
"IMF.RES:WEO(9.0.0)","NRU.NGDP_RPCH.A","OBS_VALUE","Naoero, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","-6.011","-1.219","8.487","1.982","7.207","0.111","-0.265","1.415","2.213","2.130"
"IMF.RES:WEO(9.0.0)","FJI.NGDP_RPCH.A","OBS_VALUE","Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.353","3.812","7.581","-17.157","-4.355","17.739","9.449","3.544","3.191","2.430"
"IMF.RES:WEO(9.0.0)","FJI.NID_NGDP.A","OBS_VALUE","Fiji, Republic of","Gross capital formation, Percent of GDP","Annual","Units","21.424","21.049","20.013","17.532","21.566","20.559","19.655","19.794","19.872","19.694"
"IMF.RES:WEO(9.0.0)","FJI.NGDPD.A","OBS_VALUE","Fiji, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5.353","5.581","5.345","4.228","4.159","4.978","5.477","5.968","6.041","6.352"
"IMF.RES:WEO(9.0.0)","FSM.PPPGDP.A","OBS_VALUE","Micronesia, Federated States of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","0.336","0.346","0.363","0.361","0.389","0.404","0.423","0.444","0.461","0.478"
"IMF.RES:WEO(9.0.0)","TUV.NGDP_RPCH.A","OBS_VALUE","Tuvalu","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.322","1.681","13.434","-3.274","0.097","-11.751","4.027","3.079","2.159","2.537"
"IMF.RES:WEO(9.0.0)","TON.PPPGDP.A","OBS_VALUE","Tonga","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","0.582","0.598","0.606","0.626","0.648","0.679","0.724","0.755","0.798","0.840"
"IMF.RES:WEO(9.0.0)","FSM.NGDP_RPCH.A","OBS_VALUE","Micronesia, Federated States of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.256","0.494","3.363","-1.976","3.100","-3.114","1.138","2.295","1.063","0.666"
"IMF.RES:WEO(9.0.0)","VUT.NID_NGDP.A","OBS_VALUE","Vanuatu","Gross capital formation, Percent of GDP","Annual","Units","28.627","22.884","16.359","18.673","16.891","20.889","22.275","26.086","36.266","27.472"
"IMF.RES:WEO(9.0.0)","PNG.NGDPD.A","OBS_VALUE","Papua New Guinea","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","22.743","24.110","24.751","23.848","26.113","31.653","30.729","30.756","32.491","34.403"
"IMF.RES:WEO(9.0.0)","VUT.NGDP_RPCH.A","OBS_VALUE","Vanuatu","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.223","2.515","3.277","-5.725","-1.163","5.592","5.830","3.766","3.053","3.528"
"IMF.RES:WEO(9.0.0)","WSM.NGDP_RPCH.A","OBS_VALUE","Samoa","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.406","-0.610","4.452","-3.109","-5.070","2.281","15.207","4.788","4.204","3.208"
"IMF.RES:WEO(9.0.0)","PNG.PPPGDP.A","OBS_VALUE","Papua New Guinea","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","31.313","31.941","33.923","33.290","34.631","39.211","42.212","44.942","48.822","52.105"
"IMF.RES:WEO(9.0.0)","PNG.NGDP_RPCH.A","OBS_VALUE","Papua New Guinea","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.535","-0.279","4.480","-3.167","-0.511","5.707","3.811","3.888","5.637","3.753"
"IMF.RES:WEO(9.0.0)","TON.NGDP_RPCH.A","OBS_VALUE","Tonga","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.202","0.528","-0.285","1.806","-0.935","-2.129","2.790","1.717","2.800","2.323"
"IMF.RES:WEO(9.0.0)","VUT.PPPGDP.A","OBS_VALUE","Vanuatu","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","0.866","0.908","0.953","0.911","0.941","1.065","1.168","1.242","1.317","1.402"
"IMF.RES:WEO(9.0.0)","WSM.PPPGDP.A","OBS_VALUE","Samoa","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","1.127","1.146","1.217","1.195","1.186","1.299","1.552","1.667","1.787","1.897"
"IMF.RES:WEO(9.0.0)","NRU.PPPGDP.A","OBS_VALUE","Naoero, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","0.092","0.092","0.102","0.105","0.118","0.127","0.131","0.136","0.143","0.150"
"IMF.RES:WEO(9.0.0)","AZE.NID_NGDP.A","OBS_VALUE","Azerbaijan, Republic of","Gross capital formation, Percent of GDP","Annual","Units","24.379","20.129","20.308","23.666","17.079","12.004","17.743","16.772","15.690","16.218"
"IMF.RES:WEO(9.0.0)","BLR.NGDPD.A","OBS_VALUE","Belarus, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","54.723","60.011","64.414","61.312","68.207","73.735","71.792","78.847","92.766","102.042"
"IMF.RES:WEO(9.0.0)","G903.NGSD_NGDP.A","OBS_VALUE","Emerging and Developing Europe","Gross national savings, Percent of GDP","Annual","Units","24.621","26.296","25.026","24.667","27.027","29.186","26.626","25.534","24.790","25.793"
"IMF.RES:WEO(9.0.0)","AZE.PPPGDP.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","141.070","151.910","167.158","153.048","203.884","228.681","240.355","256.560","267.531","281.296"
"IMF.RES:WEO(9.0.0)","BLR.NID_NGDP.A","OBS_VALUE","Belarus, Republic of","Gross capital formation, Percent of GDP","Annual","Units","28.030","28.079","29.150","27.455","24.905","21.598","24.925","25.841","24.842","24.959"
"IMF.RES:WEO(9.0.0)","ARM.NGSD_NGDP.A","OBS_VALUE","Armenia, Republic of","Gross national savings, Percent of GDP","Annual","Units","17.161","15.171","10.352","15.666","19.567","22.993","20.171","19.231","18.442","18.351"
"IMF.RES:WEO(9.0.0)","MHL.NGDPD.A","OBS_VALUE","Marshall Islands, Republic of the","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.214","0.220","0.233","0.242","0.261","0.259","0.264","0.285","0.308","0.342"
"IMF.RES:WEO(9.0.0)","TUV.PPPGDP.A","OBS_VALUE","Tuvalu","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","0.044","0.045","0.052","0.051","0.054","0.051","0.055","0.058","0.061","0.064"
"IMF.RES:WEO(9.0.0)","MHL.PPPGDP.A","OBS_VALUE","Marshall Islands, Republic of the","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","0.190","0.205","0.230","0.227","0.243","0.258","0.253","0.268","0.282","0.301"
"IMF.RES:WEO(9.0.0)","FSM.NGDPD.A","OBS_VALUE","Micronesia, Federated States of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.361","0.394","0.395","0.373","0.392","0.415","0.443","0.481","0.502","0.521"
"IMF.RES:WEO(9.0.0)","TUV.NGDPD.A","OBS_VALUE","Tuvalu","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.045","0.048","0.054","0.053","0.062","0.054","0.051","0.056","0.058","0.065"
"IMF.RES:WEO(9.0.0)","MHL.NGDP_RPCH.A","OBS_VALUE","Marshall Islands, Republic of the","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.563","5.484","10.469","-2.777","2.146","-0.701","-5.261","3.000","2.527","3.670"
"IMF.RES:WEO(9.0.0)","ALB.NGDP_RPCH.A","OBS_VALUE","Albania","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.283","3.671","2.063","-3.314","8.970","4.827","4.015","4.046","3.705","3.409"
"IMF.RES:WEO(9.0.0)","KAZ.NID_NGDP.A","OBS_VALUE","Kazakhstan, Republic of","Gross capital formation, Percent of GDP","Annual","Units","26.352","25.258","27.628","28.807","26.533","24.976","28.122","27.351","28.431","28.986"
"IMF.RES:WEO(9.0.0)","GEO.NGDP_RPCH.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.161","6.062","5.380","-6.291","10.644","10.960","7.832","9.680","7.462","5.306"
"IMF.RES:WEO(9.0.0)","GEO.PPPGDP.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","51.144","55.980","62.388","62.509","70.151","83.375","93.232","104.795","115.809","125.448"
"IMF.RES:WEO(9.0.0)","AZE.NGSD_NGDP.A","OBS_VALUE","Azerbaijan, Republic of","Gross national savings, Percent of GDP","Annual","Units","27.348","30.560","27.373","22.024","31.527","38.152","27.783","22.199","20.328","25.059"
"IMF.RES:WEO(9.0.0)","G903.NGDPD.A","OBS_VALUE","Emerging and Developing Europe","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3598.441","3774.959","3834.481","3579.535","4232.835","4780.995","4998.365","5538.473","6425.707","6760.161"
"IMF.RES:WEO(9.0.0)","ARM.NGDP_RPCH.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.518","5.225","7.631","-7.105","5.770","12.569","8.347","5.857","7.162","5.300"
"IMF.RES:WEO(9.0.0)","G903.NID_NGDP.A","OBS_VALUE","Emerging and Developing Europe","Gross capital formation, Percent of GDP","Annual","Units","25.208","24.235","23.598","24.578","25.352","26.382","26.829","25.569","25.910","26.903"
"IMF.RES:WEO(9.0.0)","AZE.NGDP_RPCH.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.154","1.470","2.480","-4.199","5.616","4.715","1.354","4.156","1.400","2.217"
"IMF.RES:WEO(9.0.0)","ARM.NGDPD.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","11.527","12.458","13.619","12.642","13.879","19.514","24.186","25.955","29.243","31.873"
"IMF.RES:WEO(9.0.0)","ARM.NID_NGDP.A","OBS_VALUE","Armenia, Republic of","Gross capital formation, Percent of GDP","Annual","Units","18.422","22.400","17.409","19.664","22.964","22.255","22.941","23.833","25.163","24.302"
"IMF.RES:WEO(9.0.0)","BLR.NGDP_RPCH.A","OBS_VALUE","Belarus, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.532","3.149","1.446","-0.673","2.273","-4.504","4.127","4.350","1.263","1.220"
"IMF.RES:WEO(9.0.0)","AZE.NGDPD.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","41.375","47.113","48.174","42.693","54.825","78.807","72.428","74.426","75.938","78.372"
"IMF.RES:WEO(9.0.0)","ARM.PPPGDP.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","35.949","38.233","44.366","43.553","47.165","56.869","63.896","69.317","76.390","82.743"
"IMF.RES:WEO(9.0.0)","G903.PPPGDP.A","OBS_VALUE","Emerging and Developing Europe","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","9016.772","9695.136","10495.137","10716.726","12448.559","13310.948","14295.870","15207.909","15948.271","16734.241"
"IMF.RES:WEO(9.0.0)","BLR.NGSD_NGDP.A","OBS_VALUE","Belarus, Republic of","Gross national savings, Percent of GDP","Annual","Units","26.290","28.117","27.216","27.164","28.068","25.011","23.119","22.763","22.224","22.265"
"IMF.RES:WEO(9.0.0)","G903.NGDP_RPCH.A","OBS_VALUE","Emerging and Developing Europe","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.288","3.731","2.606","-1.724","7.193","0.457","3.596","3.818","1.991","2.018"
"IMF.RES:WEO(9.0.0)","KGZ.NGDP_RPCH.A","OBS_VALUE","Kyrgyz Republic","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.740","3.459","4.601","-7.149","5.507","8.968","9.013","11.540","11.096","6.075"
"IMF.RES:WEO(9.0.0)","BGR.PPPGDP.A","OBS_VALUE","Bulgaria","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","151.835","161.044","177.101","179.174","203.060","226.386","238.709","252.921","268.150","283.481"
"IMF.RES:WEO(9.0.0)","KGZ.PPPGDP.A","OBS_VALUE","Kyrgyz Republic","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","31.242","30.789","34.956","34.834","39.302","45.872","51.857","59.277","67.723","73.895"
"IMF.RES:WEO(9.0.0)","KGZ.NID_NGDP.A","OBS_VALUE","Kyrgyz Republic","Gross capital formation, Percent of GDP","Annual","Units","30.752","27.797","25.016","17.430","23.384","21.586","19.716","18.684","17.637","17.572"
"IMF.RES:WEO(9.0.0)","BGR.NID_NGDP.A","OBS_VALUE","Bulgaria","Gross capital formation, Percent of GDP","Annual","Units","19.817","21.166","20.734","20.152","20.706","22.688","19.788","20.430","21.717","20.934"
"IMF.RES:WEO(9.0.0)","MDA.PPPGDP.A","OBS_VALUE","Moldova, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","31.002","32.130","35.736","35.647","40.708","41.597","43.654","44.872","47.260","49.537"
"IMF.RES:WEO(9.0.0)","ALB.NGDPD.A","OBS_VALUE","Albania","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","13.053","15.380","15.582","15.271","17.985","19.189","23.633","27.084","30.279","33.333"
"IMF.RES:WEO(9.0.0)","ALB.NGSD_NGDP.A","OBS_VALUE","Albania","Gross national savings, Percent of GDP","Annual","Units","17.085","19.264","17.123","16.583","19.565","19.828","23.087","21.935","21.921","21.730"
"IMF.RES:WEO(9.0.0)","BGR.NGDPD.A","OBS_VALUE","Bulgaria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","59.288","66.163","68.513","70.595","84.437","90.716","102.237","113.364","131.024","148.121"
"IMF.RES:WEO(9.0.0)","ALB.PPPGDP.A","OBS_VALUE","Albania","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","36.697","39.260","42.220","41.183","45.984","51.632","55.692","59.384","63.331","67.366"
"IMF.RES:WEO(9.0.0)","GEO.NID_NGDP.A","OBS_VALUE","Georgia","Gross capital formation, Percent of GDP","Annual","Units","25.125","27.926","27.168","24.606","20.679","24.067","24.999","24.500","22.585","23.465"
"IMF.RES:WEO(9.0.0)","KAZ.NGDPD.A","OBS_VALUE","Kazakhstan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","166.806","179.340","181.667","171.082","197.112","225.496","261.840","291.480","302.746","360.456"
"IMF.RES:WEO(9.0.0)","KAZ.NGDP_RPCH.A","OBS_VALUE","Kazakhstan, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.900","4.100","4.500","-2.600","4.100","3.200","5.100","5.000","6.485","4.609"
"IMF.RES:WEO(9.0.0)","KAZ.NGSD_NGDP.A","OBS_VALUE","Kazakhstan, Republic of","Gross national savings, Percent of GDP","Annual","Units","24.298","24.274","23.759","22.345","25.174","27.830","24.565","24.629","24.519","27.939"
"IMF.RES:WEO(9.0.0)","GEO.NGDPD.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","16.472","17.905","17.645","16.013","18.849","24.985","30.778","34.191","38.216","42.716"
"IMF.RES:WEO(9.0.0)","BLR.PPPGDP.A","OBS_VALUE","Belarus, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","174.175","189.021","210.076","233.301","251.445","257.198","277.721","296.996","309.278","322.020"
"IMF.RES:WEO(9.0.0)","ALB.NID_NGDP.A","OBS_VALUE","Albania","Gross capital formation, Percent of GDP","Annual","Units","24.672","28.062","26.111","27.080","29.575","27.637","23.927","25.510","24.991","24.991"
"IMF.RES:WEO(9.0.0)","GEO.NGSD_NGDP.A","OBS_VALUE","Georgia","Gross national savings, Percent of GDP","Annual","Units","17.183","21.268","21.177","12.186","10.390","19.642","19.470","19.198","19.982","18.458"
"IMF.RES:WEO(9.0.0)","RUS.NGDPD.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1575.140","1653.005","1695.724","1488.118","1828.927","2296.410","2034.681","2185.848","2587.938","2656.452"
"IMF.RES:WEO(9.0.0)","TJK.PPPGDP.A","OBS_VALUE","Tajikistan, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","27.412","28.565","32.973","35.624","39.727","45.957","51.589","57.320","63.897","69.671"
"IMF.RES:WEO(9.0.0)","TJK.NGDP_RPCH.A","OBS_VALUE","Tajikistan, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","7.100","7.600","7.400","4.390","9.400","8.000","8.250","8.417","8.400","6.000"
"IMF.RES:WEO(9.0.0)","CHN.NID_NGDP.A","OBS_VALUE","China, People's Republic of","Gross capital formation, Percent of GDP","Annual","Units","42.666","43.427","42.634","42.271","42.708","42.377","41.130","40.607","38.805","38.829"
"IMF.RES:WEO(9.0.0)","RUS.PPPGDP.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","3807.099","4205.230","4579.554","4651.430","5688.268","6005.387","6480.840","6968.614","7236.601","7525.159"
"IMF.RES:WEO(9.0.0)","KGZ.NGSD_NGDP.A","OBS_VALUE","Kyrgyz Republic","Gross national savings, Percent of GDP","Annual","Units","24.554","15.744","13.564","21.946","15.400","-20.336","-25.205","-3.949","-5.762","10.445"
"IMF.RES:WEO(9.0.0)","TJK.NGDPD.A","OBS_VALUE","Tajikistan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","7.535","7.762","8.301","8.134","8.934","10.716","12.242","14.426","17.542","20.418"
"IMF.RES:WEO(9.0.0)","MDA.NID_NGDP.A","OBS_VALUE","Moldova, Republic of","Gross capital formation, Percent of GDP","Annual","Units","21.939","26.592","25.104","23.864","26.856","27.310","20.085","21.159","24.186","24.497"
"IMF.RES:WEO(9.0.0)","BGR.NGSD_NGDP.A","OBS_VALUE","Bulgaria","Gross national savings, Percent of GDP","Annual","Units","22.974","21.823","22.399","21.709","20.902","21.292","18.613","19.078","15.791","16.969"
"IMF.RES:WEO(9.0.0)","KGZ.NGDPD.A","OBS_VALUE","Kyrgyz Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","7.703","8.271","9.372","8.283","9.256","12.269","15.187","18.175","21.567","23.606"
"IMF.RES:WEO(9.0.0)","BGR.NGDP_RPCH.A","OBS_VALUE","Bulgaria","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.746","2.330","3.793","-3.133","7.828","4.084","1.682","3.387","3.096","2.773"
"IMF.RES:WEO(9.0.0)","MDA.NGDP_RPCH.A","OBS_VALUE","Moldova, Republic of","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.200","4.100","3.600","-8.300","13.900","-4.600","1.200","0.300","2.416","1.900"
"IMF.RES:WEO(9.0.0)","MDA.NGDPD.A","OBS_VALUE","Moldova, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","9.515","11.252","11.737","11.530","13.694","14.524","16.711","18.208","20.342","21.889"
"IMF.RES:WEO(9.0.0)","MDA.NGSD_NGDP.A","OBS_VALUE","Moldova, Republic of","Gross national savings, Percent of GDP","Annual","Units","16.102","15.822","15.682","16.174","14.448","10.205","9.022","4.613","5.057","2.644"
"IMF.RES:WEO(9.0.0)","UKR.NGDP_RPCH.A","OBS_VALUE","Ukraine","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.360","3.488","3.200","-3.753","3.446","-28.759","5.535","3.248","1.800","2.000"
"IMF.RES:WEO(9.0.0)","UZB.PPPGDP.A","OBS_VALUE","Uzbekistan, Republic of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","248.763","274.914","293.695","299.601","332.356","377.660","416.369","455.193","504.148","552.163"
"IMF.RES:WEO(9.0.0)","UZB.NID_NGDP.A","OBS_VALUE","Uzbekistan, Republic of","Gross capital formation, Percent of GDP","Annual","Units","24.220","38.294","36.312","36.005","36.123","34.411","37.190","34.396","33.510","32.967"
"IMF.RES:WEO(9.0.0)","CZE.NGSD_NGDP.A","OBS_VALUE","Czech Republic","Gross national savings, Percent of GDP","Annual","Units","26.631","26.035","26.504","26.489","26.072","26.348","28.108","28.066","26.465","24.568"
"IMF.RES:WEO(9.0.0)","UKR.NID_NGDP.A","OBS_VALUE","Ukraine","Gross capital formation, Percent of GDP","Annual","Units","19.960","18.566","14.853","8.898","14.439","12.086","18.039","19.195","21.820","22.161"
"IMF.RES:WEO(9.0.0)","UZB.NGDPD.A","OBS_VALUE","Uzbekistan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","69.703","61.318","70.171","70.127","81.170","94.317","107.518","121.352","147.069","181.502"
