scenario_code,scenario,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining,combined_model,combined_model_label,projected_pathway,trajectory_label,analysis,ssp,s_mil_2025_assumed,cum_E_mil_Gt
S3,"NATO→5%, nonNATO→3.5%",111.20696188435276,82.29315179442105,63.30242445724696,7.8374430280400995,36.69757554275304,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP2-4.5,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP2-4.5 — S3: NATO 5%; non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP2-4.5,0.055,
S0,Baseline,102.24257600117862,75.65950624087218,58.19962018528629,7.205667261035446,41.80037981471371,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP3-7.0,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP3-7.0 — S0: Baseline,SA2_AR6_dynamic_v32_split,SSP3-7.0,0.055,
S1,"NATO→3.5%, nonNATO holds",109.68475694469744,81.1667201390761,62.43593856852008,7.7301638227691525,37.56406143147992,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP3-7.0,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP3-7.0 — S1: NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP3-7.0,0.055,
S2,"NATO→3.5%, nonNATO→3.5%",136.92203011582296,101.32230228570899,77.94023252746845,9.649743074829427,22.059767472531547,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP3-7.0,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP3-7.0 — S2: NATO/non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP3-7.0,0.055,
S3,"NATO→5%, nonNATO→3.5%",150.8761193849207,111.64832834484133,85.8833294960318,10.633174128080128,14.116670503968194,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP3-7.0,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP3-7.0 — S3: NATO 5%; non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP3-7.0,0.055,
S0,Baseline,112.5957750091722,83.32087350678742,64.09297962060572,7.935321286360708,35.90702037939428,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP5-8.5,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP5-8.5 — S0: Baseline,SA2_AR6_dynamic_v32_split,SSP5-8.5,0.055,
S1,"NATO→3.5%, nonNATO holds",120.7501092545833,89.35508084839164,68.73467757568588,8.510007699846824,31.26532242431412,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP5-8.5,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP5-8.5 — S1: NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP5-8.5,0.055,
S2,"NATO→3.5%, nonNATO→3.5%",151.66054254306184,112.22880148186576,86.32984729374289,10.688457283987216,13.670152706257113,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP5-8.5,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP5-8.5 — S2: NATO/non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP5-8.5,0.055,
S3,"NATO→5%, nonNATO→3.5%",166.94991925320764,123.54294024737365,95.03303095951819,11.76599430927368,4.966969040481814,SA2,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2,SSP5-8.5,SA2 — AR6 pathways; evolving NATO GDP share from SSP Basic Drivers v3.2 — SSP5-8.5 — S3: NATO 5%; non-NATO 3.5%,SA2_AR6_dynamic_v32_split,SSP5-8.5,0.055,
S0,Baseline,,72.17075571594872,55.515965935345164,6.87340530628083,,SA3,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),PPP recalibrated original-model dynamics,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,0.055,97.52804826479556
S1,"NATO→3.5%, nonNATO holds",,78.76502507175245,60.588480824424956,7.5014309592145185,,SA3,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),PPP recalibrated original-model dynamics,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S1: NATO 3.5%,,,0.055,106.43922306993574
S2,"NATO→3.5%, nonNATO→3.5%",,96.76951432657474,74.43808794351902,9.216144221578546,,SA3,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),PPP recalibrated original-model dynamics,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S2: NATO/non-NATO 3.5%,,,0.055,130.76961395483073
S3,"NATO→5%, nonNATO→3.5%",,109.13376936870675,83.94905336054364,10.393692320829214,,SA3,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),PPP recalibrated original-model dynamics,SA3 — PPP recalibration using IMF WEO PPPGDP (g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S3: NATO 5%; non-NATO 3.5%,,,0.055,147.47806671446858
