year,analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,GDP_world,GDP_NATO,GDP_nonNATO,s_NATO_GDP,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,economy_GHG_intensity,intensity_multiplier_q,E_mil_Gt,E_rest_Gt,E_world_Gt,E_world_AR6_Gt,s_mil,GDP_model_basis,bloc_split_basis,ar6_model,ar6_scenario,world_GHG_minus_AR6_Gt,E_mil_S0_Gt,E_world_S0_Gt,incremental_E_mil_vs_S0_Gt,incremental_E_world_vs_S0_Gt,cum_E_mil_Gt,cum_incremental_E_mil_vs_S0_Gt,cum_incremental_E_world_vs_S0_Gt
2028,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,166.7424434517702,83.67135812409829,83.07108532767192,0.5018,0.028820930945768986,0.025720233909322272,2.4114864346333436,2.136607745728991,4.548094180362335,0.540186505029089,0.4058743981065494,0.40923220077961286,0.913601489654434,2.456819099833069,65.83053388681613,68.2873529866492,68.23637709713807,0.03597765900097782,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.050975889511121864,2.251800444205557,68.23637709713807,0.20501865562751176,0.050975889511121864,9.126162625981806,0.3605041421537738,0.08963583954096066
2029,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,175.0120572110772,87.82105030851855,87.19100690255866,0.5018,0.029845109579542582,0.027258352042179364,2.6210288698482582,2.3766831610620347,4.997712030910293,0.5237927016197961,0.39355675405310236,0.39681265274226973,0.885875133893241,2.61776508658826,66.9102938315702,69.52805891815846,69.44699868380943,0.03765048424075284,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.08106023434903875,2.291750956565711,69.44699868380941,0.326014130022549,0.08106023434905296,11.743927712570065,0.6865182721763228,0.17069607389001362
2030,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,183.69180356957398,92.17654703121222,91.51525653836175,0.5018,0.030999999999995285,0.028992773986343784,2.8574729579671443,2.6532811491189925,5.510754107086137,0.507695686848064,0.3814621050365795,0.38461794458186666,0.8586507279935566,2.7977860914478856,67.9693182055875,70.76710429703539,70.65116392546554,0.03953512185131322,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.11594037156984882,2.331488409540363,70.65116392546554,0.4662976819075224,0.11594037156984882,14.54171380401795,1.1528159540838452,0.28663644545986244
2031,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,192.3472811262712,96.5198656691629,95.82741545710832,0.5018,0.03215489042044799,0.0307271959305082,3.103585703988293,2.944507770264777,6.04809347425307,0.49546145895237304,0.37226979860679466,0.3753495901154341,0.8379593395078831,2.9965972166337527,69.35356106782623,72.35015828446,72.19747313056408,0.04141797734362923,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.15268515389591641,2.382516613308615,72.19747313056408,0.6140806033251378,0.15268515389591641,17.538311020651705,1.766896557408983,0.43932159935577886
2032,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,201.41060100515517,101.06783958438687,100.3427614207683,0.5018,0.033179069054221584,0.032265314063365295,3.353336828731362,3.237590711226424,6.590927539957786,0.48322789560555174,0.3630779914922832,0.36608173909511493,0.8172690749540954,3.184920045222477,70.73473574492633,73.91965579014881,73.73274308815951,0.04308624020469164,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.1869127019893,2.433180521909264,73.73274308815951,0.7517395233132129,0.1869127019893,20.72323106587418,2.518636080722196,0.6262343013450788
2033,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,210.9009805583224,105.83011204416619,105.07086851415622,0.5018,0.03399498385901843,0.033490660223439564,3.5976929507395417,3.5188927567893002,7.1165857075288415,0.47064988225491444,0.3536273785085488,0.3565529411022079,0.7959962522770151,3.3494202253054564,72.06374133203714,75.41316155734259,75.19736489940942,0.044414266106038096,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.2157966579331685,2.4815130416805107,75.19736489940944,0.8679071836249457,0.21579665793315428,24.072651291179636,3.3865432643471416,0.8420309592782331
2034,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,220.8385426511057,110.81678070232485,110.02176194878086,0.5018,0.034591224067421655,0.034386097646015426,3.8332880917044467,3.7832190495574434,7.61650714126189,0.45803712695549664,0.34415066182281684,0.3469978234511338,0.7746646715675443,3.488643048419619,73.38050463592091,76.86914768434053,76.63049363405406,0.04538417757336877,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.23865405028647046,2.528806289923784,76.63049363405406,0.9598367584958352,0.23865405028647046,27.561294339599257,4.346380022842977,1.0806850095647036
2035,SA1_AR6_fixed_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,231.244358329465,116.03841900972554,115.20593931973946,0.5018,0.03499999999999057,0.03499999999998584,4.0613446653393,4.03220787618925,8.093552541528549,0.4454577955111513,0.3346990584765216,0.3374680269023873,0.7533896196374855,3.605336073002983,74.68836459549946,78.29370066850245,78.03757733775319,0.04604886526271212,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.2561233307492614,2.575240052145855,78.03757733775319,1.030096020857128,0.2561233307492614,31.166630412602238,5.376476043700105,1.336808340313965
2025,SA1_AR6_fixed_split,SSP5-8.5,S3,"NATO→5%, nonNATO→3.5%",0.033,144.2051385147961,72.36213850672468,71.84300000807141,0.5018,0.027,0.022985547972701727,1.9537777396815663,1.651350723188336,3.605128462869902,0.5912714801213955,0.4442575922901239,0.4479329394859057,1.0,2.1316096422688586,62.462621941635945,64.5942315839048,64.5942315839048,0.033,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.0,2.1316096422688586,64.5942315839048,0.0,0.0,2.1316096422688586,0.0,0.0
2026,SA1_AR6_fixed_split,SSP5-8.5,S3,"NATO→5%, nonNATO→3.5%",0.033,151.357011624834,75.95094843334171,75.4060631914923,0.5018,0.02817523080613562,0.023599450326672138,2.139935502054307,1.7795416426175228,3.9194771446718297,0.5737796839703209,0.431114960683217,0.4346815787653946,0.9704166415273685,2.248916357398698,63.56252688064557,65.81144323804426,65.79210477029503,0.03417211729066967,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,MIGRATION 1.0,SSP5-8.5_zeromig,0.019338467749236088,2.171139457419736,65.79210477029503,0.07777689997896209,0.019338467749236088,4.380525999667556,0.07777689997896209,0.019338467749236088
