analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining
SA2_AR6_dynamic_v32_split,SSP3-7.0,S3,"NATO→5%, nonNATO→3.5%",0.033,90.52567163095243,66.9889970069048,51.52999769761907,6.3799044768480755,48.47000230238093
SA2_AR6_dynamic_v32_split,SSP3-7.0,S3,"NATO→5%, nonNATO→3.5%",0.055,150.8761193849207,111.64832834484133,85.8833294960318,10.633174128080128,14.116670503968194
SA2_AR6_dynamic_v32_split,SSP3-7.0,S3,"NATO→5%, nonNATO→3.5%",0.07,192.02415194444455,142.09787243888897,109.30605572222228,13.533130708465617,-9.306055722222283
SA2_AR6_dynamic_v32_split,SSP5-8.5,S0,Baseline,0.033,67.55746500550332,49.99252410407245,38.45578777236343,4.761192771816424,61.54421222763657
SA2_AR6_dynamic_v32_split,SSP5-8.5,S0,Baseline,0.055,112.5957750091722,83.32087350678742,64.09297962060572,7.935321286360708,35.90702037939428
SA2_AR6_dynamic_v32_split,SSP5-8.5,S0,Baseline,0.07,143.30371364803733,106.04474809954762,81.57288315349817,10.099499819004535,18.427116846501832
SA2_AR6_dynamic_v32_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.033,72.45006555274998,53.61304850903498,41.24080654541152,5.106004619908093,58.75919345458848
SA2_AR6_dynamic_v32_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.055,120.7501092545833,89.35508084839164,68.73467757568588,8.510007699846824,31.26532242431412
SA2_AR6_dynamic_v32_split,SSP5-8.5,S1,"NATO→3.5%, nonNATO holds",0.07,153.681957233106,113.72464835249845,87.4804987326911,10.830918890714138,12.519501267308897
SA2_AR6_dynamic_v32_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.033,90.99632552583711,67.33728088911946,51.797908376245736,6.413074370392329,48.202091623754264
SA2_AR6_dynamic_v32_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.055,151.66054254306184,112.22880148186576,86.32984729374289,10.688457283987216,13.670152706257113
SA2_AR6_dynamic_v32_split,SSP5-8.5,S2,"NATO→3.5%, nonNATO→3.5%",0.07,193.0225086911696,142.8366564314655,109.87435110112732,13.603491088711001,-9.874351101127317
SA2_AR6_dynamic_v32_split,SSP5-8.5,S3,"NATO→5%, nonNATO→3.5%",0.033,100.16995155192458,74.1257641484242,57.01981857571092,7.0595965855642095,42.98018142428908
SA2_AR6_dynamic_v32_split,SSP5-8.5,S3,"NATO→5%, nonNATO→3.5%",0.055,166.94991925320764,123.54294024737365,95.03303095951819,11.76599430927368,4.966969040481814
SA2_AR6_dynamic_v32_split,SSP5-8.5,S3,"NATO→5%, nonNATO→3.5%",0.07,212.48171541317333,157.23646940574827,120.95113031211405,14.974901848166501,-20.951130312114046
