year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,model_family
2044,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.60846419735033,2.3527852251629886,5.961249422513319,0.845417922658418,0.372456847045317,5.039747103229904,74.30404403179179,79.34379113502169,0.06351785100177046,Original model reference case
2045,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.716718123270841,2.4233687819178784,6.140086905188719,0.8369637434318338,0.3687322785748638,5.139030121163533,75.76783369921809,80.90686382038162,0.06351785100177047,Original model reference case
2046,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.8282196669689657,2.4960698453754144,6.3242895123443805,0.8285941059975155,0.36504495578911517,5.240269014550456,77.26046002309269,82.50072903764314,0.06351785100177047,Original model reference case
2047,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,3.943066256978035,2.570951940736677,6.514018197714712,0.8203081649375403,0.36139450623122404,5.343502314137099,78.78249108554763,84.12599339968473,0.06351785100177046,Original model reference case
2048,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,4.0613582446873755,2.648080498958777,6.709438743646153,0.8121050832881649,0.35778056116891177,5.448769309725599,80.3345061599329,85.7832754696585,0.06351785100177046,Original model reference case
2049,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,4.1831989920279975,2.7275229139275408,6.910721905955539,0.8039840324552832,0.35420275555722264,5.556110065127194,81.91709593128358,87.47320599641078,0.06351785100177045,Original model reference case
2050,S1,"NATO→3.5%, nonNATO holds",0.055,0.03,0.01,0.01,0.0,0.035,0.022985547972701727,4.308694961788837,2.8093486013453672,7.118043563134204,0.7959441921307304,0.35066072800165043,5.6655654334102,83.53086272112988,89.19642815454007,0.06351785100177046,Original model reference case
2025,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.587489462,1.341760538,2.9292499999999997,1.023299479388922,0.45082424616435024,2.9974999999999996,51.5025,54.5,0.05499999999999999,Original model reference case
2026,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.02740877593256891,0.023599450326672138,1.6598695277055757,1.418924427669015,3.0787939553745907,1.0130664845950328,0.44631600370270674,3.119022969163773,52.48957652407471,55.60859949323848,0.05608886031274747,Original model reference case
2027,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.028005016140972137,0.024494887749248,1.7468570366131633,1.5169457729856888,3.263802809598852,1.0029358197490825,0.4418528436656797,3.2733847463443833,53.48268570918394,56.756070455528324,0.057674619121302104,Original model reference case
2028,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.028820930945768986,0.025720233909322272,1.8516835392650228,1.6406152387226935,3.4922987779877164,0.9929064615515917,0.4374343152290229,3.467526022332731,54.47917362060187,57.946699642934604,0.05983992261335843,Original model reference case
2029,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.029845109579542582,0.027258352042179364,1.975009384227963,1.7908889140568116,3.7658982982847746,0.9829773969360758,0.43305997207673264,3.7017929063739654,55.47929958464605,59.18109249102002,0.06255026310870597,Original model reference case
2030,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.030999999999995285,0.028992773986343784,2.112977654523853,1.9619866440472764,4.07496429857113,0.973147622966715,0.42872937235596525,3.9655418208287223,56.48817265055763,60.45371447138635,0.06559633027521697,Original model reference case
2031,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.03215489042044799,0.0307271959305082,2.257446512591691,2.1417384378145186,4.39918495040621,0.9634161467370479,0.4244420786324057,4.238245813703962,57.51526435389034,61.7535101675943,0.06863165838187477,Original model reference case
