year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,analysis,GDP_valuation,GDP_world_2025_calibrated,s_NATO_GDP_2025_calibrated,m_nonNATO_2025_calibrated,cum_E_mil_Gt,E_mil_S0_Gt,incremental_E_mil_vs_S0_Gt,cum_incremental_E_mil_vs_S0_Gt
2030,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.030999999999995285,0.029496033501672438,2.532828919148413,4.7819619156139215,7.314790834762334,0.32527588911905503,0.24439921117181526,2.379325092497233,57.803241220200256,60.18256631269749,0.039535121851313214,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,12.314861079026144,1.9827709104147502,0.39655418208248294,0.9782368480656849
2031,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.03215489042044799,0.031085153047523344,2.7060039174013046,5.1907812806774185,7.896785198078723,0.3220231302278645,0.24195521906009712,2.542947488222377,58.85424405313436,61.39719154135673,0.041417977343629224,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,14.857808567248522,2.0218314973499214,0.5211159908724556,1.4993528389381405
2032,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.033179069054221584,0.032494414269669876,2.8759597794411387,5.588891229568796,8.464851009009935,0.31880289892558583,0.23953566686949612,2.6986190406455375,59.93434748939034,62.63296653003588,0.043086240204691637,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,17.556427607894058,2.061661577847715,0.6369574627978225,2.1363103017359633
2033,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.03399498385901843,0.03361710620744138,3.035083724174398,5.955448802419834,8.990532526594233,0.31561486993633,0.23714031020080117,2.837545754039383,61.05061457860698,63.888160332646365,0.044414266106038096,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,20.39397336193344,2.102276310931315,0.7352694431080677,2.8715797448440306
2034,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.034591224067421655,0.03443752774044221,3.180965740408872,6.283814556696128,9.464780297105,0.31245872123696666,0.23476890709879317,2.9573531484222655,62.20529397989383,65.1626471283161,0.04538417757336876,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,23.351326510355708,2.1436911542566617,0.8136619941656038,3.6852417390096344
2035,S2,"NATO→3.5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.03499999999999057,0.03499999999998703,3.3151129522967597,6.578042316980288,9.893155269277049,0.30933413402459703,0.23242121802780522,3.060290617992695,63.39716931144343,66.45745992943613,0.04604886526271214,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,26.411617128348404,2.1859218699955183,0.8743687479971767,4.559610487006811
2025,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.027,0.023992067003357848,1.9029255750000003,3.3552434500000006,5.258169025000001,0.34203921392580183,0.2569944987305753,1.7985000000000002,52.70150000000001,54.50000000000001,0.033,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,1.7985000000000002,1.7985000000000002,0.0,0.0
2026,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.02817523080613562,0.024554539262902658,2.0453269741110756,3.536921213525879,5.582248187636955,0.3386188217865438,0.25442455374326955,1.8902543042176951,53.69740007289937,55.58765437711706,0.034004930148587596,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,3.6887543042176953,1.83393045,0.056323854217695146,0.056323854217695146
2027,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.029889421405294894,0.02537496079590349,2.234858321811336,3.7647505113249418,5.999608833136278,0.3352326335686784,0.25188030820583684,2.01126466951418,54.69229567813365,56.70356034764782,0.03546981278041761,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,5.700018973731876,1.8700588798650004,0.1412057896491794,0.19752964386687455
2028,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.03223517646908584,0.026497652733675,2.482560065396861,4.049258008900724,6.531818074297584,0.3318803072329916,0.24936150512377847,2.16778178928789,55.68190355023964,57.849685339527525,0.03747266344777658,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,7.8678007630197655,1.9068990397983407,0.26088274948954915,0.4584123933564237
2029,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.03517969004118492,0.02790691395582153,2.7906087160352064,4.39255374256505,7.183162458600256,0.32856150416066165,0.24686789007254067,2.3601106620280965,56.66641592070616,59.026526582734256,0.039983898742882294,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,10.22791142504786,1.9444649508823681,0.41564571114572835,0.874058104502152
2030,S3,"NATO→5%, nonNATO→3.5%",0.033,0.03,0.01,0.01,0.0,0.03849999999998644,0.029496033501672438,3.145610109264335,4.7819619156139215,7.927572024878256,0.32527588911905503,0.24439921117181526,2.5786480389476223,57.653477980714996,60.232126019662616,0.04281183828885319,SA3_PPP_recalibrated_original_reference,PPP,210.326761,0.3350915721086011,0.023992067003357848,12.806559463995484,1.9827709104147502,0.5958771285328721,1.4699352330350242
